eccentricity,force_x_n,force_y_n,load_n,Kxx,Kxy,Kyx,Kyy,Cxx,Cxy,Cyx,Cyy
0.2,-120.28423109329174,526.0472689660577,539.6239666993603,24046927.411538403,48807727.68771077,-54326409.57318309,11196295.162006073,72778.69775196108,-354366.72756602505,-318288.0652213731,87989.09390785714
0.3,-296.0357125041186,843.9266585539671,894.34297006008,43012779.662460424,52293704.163793795,-65611159.442206606,18391698.4458594,119412.1260301239,-435798.4101015862,-340415.26834377606,145288.78929678598
0.4,-601.7733215192972,1243.3609891723054,1381.3318500229773,74127253.94310145,57865065.47717019,-85579586.41713582,28051310.345377527,182053.28447449897,-581157.5410237714,-376151.52379103785,223590.36993241363
0.5,-1135.066438602567,1787.3369599536118,2117.297623967432,131617122.65581898,66620062.57745552,-121382959.24776506,42331536.18954113,274711.5112682633,-845788.246194755,-432575.59268424776,341855.07938540383
0.6,-2120.040994039624,2599.854562393689,3354.671006523262,252977007.49275616,80827138.05748494,-190433990.90091145,65876294.32684803,427581.1864518835,-1367220.5793835497,-524352.5486139228,541812.6610393064
0.7,-4157.120706410768,3968.1939343257254,5747.017980491156,560875362.7193692,105819290.0096384,-343266691.09545475,110668018.46165073,718654.5417355658,-2555085.8788356753,-685994.1759672891,933729.449080833
0.8,-9343.77227766277,6739.035912531276,11520.446406594043,1622847729.5643702,157333665.81317168,-778002252.6319052,217415031.7081359,1413376.4091065878,-6069268.239631367,-1019373.5566162823,1902321.367288779
