time_s,baseline_g6_3_hydraulic_x_um,baseline_g6_3_hydraulic_y_um,allowable_wear_g6_3_offdesign_x_um,allowable_wear_g6_3_offdesign_y_um,limit_g16_offdesign_x_um,limit_g16_offdesign_y_um
0.0,46.29712265217252,-11.513428087324852,170.9916933787751,-77.7468345118941,-127.33149275801232,-298.5038026994648
5.097489486427934e-05,46.650114869754,-11.128164045613751,173.8743980606457,-76.24667298344944,-120.020805555467,-298.6074710966725
0.00010194978972855868,46.99153910309853,-10.740140516029467,176.71398652937106,-74.72760431375438,-112.68035639433604,-298.6370928054997
0.000152924684592838,47.32131068810272,-10.34945371805798,179.50975464274842,-73.19000519132238,-105.31196551022707,-298.5926604805525
0.00020389957945711736,47.63934785020914,-9.9562005316048,182.26100912485433,-71.63425689972505,-97.91746006754981,-298.4741851398626
0.0002548744743213967,47.945571724684264,-9.560478472971326,184.9670677379586,-70.06074522304377,-90.498673706428,-298.2816961621544
0.000305849369185676,48.23990637617483,-9.162385670673412,187.62725945170106,-68.46986035020572,-83.05744608800546,-298.0152412795603
0.0003568242640499554,48.522278817537746,-8.762020841108106,190.24092460948935,-66.86199677822731,-75.59562243825934,-297.6748865657844
0.0004077991589142347,48.792619027938976,-8.359483264074616,192.80741509207596,-65.2375532143895,-68.11505309043316,-297.26071641971765
0.00045877405377851404,49.05085997021686,-7.9548727581555765,195.3260944782745,-63.59693247736901,-60.617593026203686,-296.77283354450964
0.0005097489486427934,49.29693760750551,-7.548289655964692,197.79633820277544,-61.940541397349996,-53.10510141569468,-296.2113589221006
0.0005607238435070727,49.53079091911426,-7.139834779266933,200.21753371102136,-60.26879071514111,-45.57944115645264,-295.5764317832212
0.000611698738371352,49.75236191565915,-6.729609413977419,202.58908061110427,-58.582094980322616,-38.042478411497534,-294.8682095728672
0.0006626736332356314,49.96159565344277,-6.317715285045221,204.91039082264675,-56.88087244844926,-30.496082146564465,-294.086867911257
