case,label,first_critical_rpm,lambda1_real_1_s,lambda1_imag_1_s,log_decrement_delta1,mode2_real_1_s,mode2_log_decrement,mode3_real_1_s,mode3_log_decrement,max_real_first3_1_s,min_log_decrement_first3,stable_by_first3_eigenvalues,api684_log_decrement_ok,operating_speed_rpm,critical_speed_margin_signed_percent,critical_speed_margin_percent,critical_margin_status,orbit_semi_major_um,orbit_semi_minor_um,support_max_name,support_semi_major_um,support_semi_minor_um,equivalent_velocity_rms_mm_s,iso20816_zone,practical_conclusion
baseline_g6_3_hydraulic,"G6,3 + номинальная сила",3701.8043784227466,-46.704573069687875,387.65204800931434,0.7570022879964439,-44.25685536485751,0.7165829646721315,-71.08109714223761,0.5036648296791588,-44.25685536485751,0.5036648296791588,True,True,2950.0,25.484894183821922,25.484894183821922,запас не менее 20 %,51.601114224624794,26.95325525241818,левая опора,2.1447033858992652,0.02351586573822272,0.46849274896393084,A,соответствует критериям
allowable_wear_g6_3_offdesign,"G6,3 + допустимый износ",3197.2743888836803,-34.013420916679976,334.81779105425886,0.6382953124374602,-27.726474926536323,0.5198005508575064,-18.578849637414955,0.13822714704996025,-18.578849637414955,0.13822714704996025,True,True,2950.0,8.382182674023062,8.382182674023062,"запас менее 15 %, требуется контроль",252.19639674485094,121.02878928487866,левая опора,26.31897578278708,1.1197641773341844,5.749162982378106,C,"устойчив, но запас по критической скорости недостаточен"
limit_g16_offdesign,G16 + предельные зазоры,2900.0423773501475,-19.3495312434777,303.6917275927434,0.4003292792119388,-27.18611512641307,0.5621620310564138,6.909014702225754,-0.052729975358467435,6.909014702225754,-0.052729975358467435,False,False,2950.0,-1.6934787338933055,1.6934787338933055,"запас менее 15 %, требуется контроль",488.37586778257776,285.4854166832519,левая опора,64.05217700690191,5.457193153253774,13.991669281813317,D,динамический запас потерян
