support,target_load_n,eccentricity,force_x_n,force_y_n,load_n,Kxx,Kxy,Kyx,Kyy,Cxx,Cxy,Cyx,Cyy
baseline,1123.4021898997623,0.3470358214046148,-419.3975391744795,1018.6616315757146,1101.6196328634062,55542875.36488086,54604372.67090243,-73617347.38316643,22529948.53301758,146243.69524236734,-493869.9047963573,-355206.76038415293,178646.82470563668
left,1184.8206590181633,0.3596477046827464,-458.18431530508764,1069.1777236136738,1163.2170354079713,59472173.249474466,55312204.53200875,-76148927.90204032,23751601.05461278,154165.96473704808,-512290.8835333336,-359747.8345074149,188549.13974593845
right,1061.9837207813614,0.33442393812648324,-383.17236837387065,969.7944760423618,1042.747519607465,51875052.79208451,53935576.02529637,-71259121.50834912,21359004.75742287,138650.80847015546,-476735.74213183805,-350919.84509165084,169178.64373969653
