support,Kxx,Kxy,Kyx,Kyy,Cxx,Cxy,Cyx,Cyy,K_direct_mean,C_direct_mean
base,55542875.36488086,54604372.67090243,-73617347.38316643,22529948.53301758,146243.69524236734,-493869.9047963573,-355206.76038415293,178646.82470563668,39036411.94894922,162445.25997400202
left,59472173.249474466,55312204.53200875,-76148927.90204032,23751601.05461278,154165.96473704808,-512290.8835333336,-359747.8345074149,188549.13974593845,41611887.152043626,171357.55224149325
right,51875052.79208451,53935576.02529637,-71259121.50834912,21359004.75742287,138650.80847015546,-476735.74213183805,-350919.84509165084,169178.64373969653,36617028.77475369,153914.726104926
