phi_rad,clearance_H_z0,pressure_dimensionless_z0,pressure_MPa_z0
0.0,1.3470358214046148,0.0,0.0
0.07757018897752575,1.3459922642727675,0.003361001130263401,0.016234130383751037
0.1551403779550515,1.3428678689526061,0.0067444045297547954,0.032576467026721824
0.23271056693257725,1.3376814259252163,0.010172642754074146,0.04913536247576853
0.310280755910103,1.3304641270692243,0.013668198380827744,0.06601941089140391
0.3878509448876288,1.3212593780691697,0.017253602088461828,0.08333743876828074
0.4654211338651545,1.31012253736861,0.020951396857503593,0.10119833202191436
0.5429913228426803,1.2971205832379282,0.02478405439420142,0.11971063230255798
0.620561511820206,1.282331710959134,0.028773827633304976,0.13898182456191072
0.6981317007977318,1.2658448625502352,0.03294252038628109,0.15911722442007994
0.7757018897752576,1.247759191857479,0.03731115191318323,0.18021835799831729
0.8532720787527833,1.2281834682324515,0.0418994905164403,0.20238070910833783
0.930842267730309,1.2072354223803994,0.04672542637737042,0.22569068996032862
1.0084124567078347,1.1850410383139167,0.0518041501075026,0.25022167344486995
1.0859826456853605,1.1617337956702685,0.05714710038044467,0.2760289100398907
1.1635528346628863,1.1374538669491465,0.06276064231491134,0.3031431442060792
1.241123023640412,1.1123472744987635,0.0686444390970018,0.33156274908269684
1.3186932126179378,1.0865650123202684,0.07478948417293763,0.361244221688733
1.3962634015954636,1.0602621379720576,0.08117577220184305,0.39209093328186895
1.4738335905729893,1.0335968400353737,0.08776960632050834,0.4239401230507665
1.5514037795505151,1.0067294867495644,0.094520570061495,0.45654827203361564
1.6289739685280409,0.9798216615386223,0.1013582376221947,0.48957521323325887
1.7065441575055667,0.9530351912294591,0.10818875900510475,0.522567637341867
1.7841143464830924,0.9265311728063288,0.11489153870179397,0.5549430502954128
1.861684535460618,0.900469004554608,0.1213163276749605,0.5859757271187906
1.9392547244381437,0.8750054274207522,0.1272811640476758,0.6147867651516198
2.0168249134156695,0.8502935823538011,0.13257171775284804,0.6403409186086501
2.0943951023931953,0.8264820892976927,0.13694269990176233,0.6614534060373471
2.171965291370721,0.8037141533734314,0.1401220606388964,0.6768101865748082
2.249535480348247,0.7821267036266419,0.14181868221259283,0.6850051186119521
2.3271056693257726,0.7618495695201759,0.14173413340351573,0.6845967354138659
2.4046758583032983,0.7430047001244469,0.1395787459634647,0.6741858966866128
2.482246047280824,0.7257054307013712,0.13509177769557917,0.6525131792237363
2.55981623625835,0.7100558010927678,0.12806474837053652,0.6185715928178298
2.6373864252358756,0.6961499300125071,0.11836623422266777,0.5717263413278917
2.7149566142134014,0.6840714490054924,0.1059656086273659,0.511829493647143
2.792526803190927,0.6738929994777071,0.09095260399782892,0.43931447054488637
2.870096992168453,0.6656757958222526,0.07354935516806213,0.35525421597985585
2.9476671811459787,0.659469257268785,0.05411195222570509,0.26136869751143427
3.0252373701235045,0.6553107106704541,0.03311956611280538,0.15997238135007952
3.1028075591010302,0.653225166015815,0.011150836209363888,0.05386018090879926
3.180377748078556,0.653225166015815,0.0,0.0
3.2579479370560818,0.6553107106704541,0.0,0.0
3.3355181260336075,0.659469257268785,0.0,0.0
3.4130883150111333,0.6656757958222526,0.0,0.0
3.490658503988659,0.673892999477707,0.0,0.0
3.568228692966185,0.6840714490054924,0.0,0.0
3.6457988819437106,0.6961499300125071,0.0,0.0
3.723369070921236,0.7100558010927676,0.0,0.0
3.8009392598987617,0.7257054307013711,0.0,0.0
3.8785094488762875,0.7430047001244466,0.0,0.0
3.9560796378538132,0.7618495695201757,0.0,0.0
4.033649826831339,0.7821267036266417,0.0,0.0
4.111220015808865,0.8037141533734312,0.0,0.0
4.1887902047863905,0.8264820892976924,0.0,0.0
4.266360393763916,0.8502935823538009,0.0,0.0
4.343930582741442,0.8750054274207518,0.0,0.0
4.421500771718968,0.9004690045546078,0.0,0.0
4.499070960696494,0.9265311728063287,0.0,0.0
4.576641149674019,0.953035191229459,0.0,0.0
4.654211338651545,0.979821661538622,0.0,0.0
4.731781527629071,1.0067294867495644,0.0,0.0
4.809351716606597,1.0335968400353737,0.0,0.0
4.886921905584122,1.0602621379720576,0.0,0.0
4.964492094561648,1.0865650123202684,0.0,0.0
5.042062283539174,1.1123472744987632,0.0,0.0
5.1196324725167,1.1374538669491463,0.0,0.0
5.1972026614942255,1.1617337956702682,0.0,0.0
5.274772850471751,1.1850410383139165,0.0,0.0
5.352343039449277,1.2072354223803994,0.0,0.0
5.429913228426803,1.2281834682324515,0.0,0.0
5.507483417404329,1.247759191857479,0.0,0.0
5.585053606381854,1.2658448625502352,0.0,0.0
5.66262379535938,1.282331710959134,0.0,0.0
5.740193984336906,1.2971205832379282,0.0,0.0
5.817764173314432,1.31012253736861,0.0,0.0
5.895334362291957,1.3212593780691697,0.0,0.0
5.972904551269483,1.3304641270692243,0.0,0.0
6.050474740247009,1.3376814259252163,0.0,0.0
6.128044929224535,1.3428678689526061,0.0,0.0
6.2056151182020605,1.3459922642727675,0.0,0.0
