eccentricity,Kxx_n_m,Kyy_n_m,anisotropic_critical_rpm,rigid_critical_rpm
0.2,24046927.411538403,11196295.162006073,1625.8283502517584,6560.140695911703
0.3,43012779.662460424,18391698.4458594,1623.1514460540611,7193.1831425948085
0.4,74127253.94310145,28051310.345377527,1623.4438833555876,8171.452187021996
0.5,131617122.65581898,42331536.18954113,1625.8133413656158,9646.85581744705
0.6,252977007.49275616,65876294.32684803,1629.3282018699126,11940.441965772201
0.7,560875362.7193692,110668018.46165073,1630.1964680408712,13114.629641579186
0.8,1622847729.5643702,217415031.7081359,1633.698631910254,15729.328793699271
