span_m,anisotropic_critical_rpm,rigid_critical_rpm
1.4,2750.040651478947,8106.060210395876
1.6,2316.927532301966,7912.3476531405095
1.8,1865.4364692404986,7731.890363207606
1.951,1622.9683342635349,7603.538940785012
2.1,1437.5387644208424,7482.954175221926
2.3,1245.308654197449,7329.761527176917
2.5,1096.940141761122,7185.607963792091
