x_m,with_annular_seals_mode_1
0.0,0.018764216430630875
0.3840975,0.6666447459484711
0.4269375,0.7244201517755449
0.4697775,0.7773158498355884
0.5179725,0.8306849847889851
0.5608125,0.8723656270637161
0.6036525,0.9083571903047342
0.6518475,0.94192187978153
0.6946875,0.96544546925194
0.7375275,0.9828975197320876
0.7857225,0.9953344008575821
0.8285625,1.0
0.8714025,0.9986736183041175
0.9195975,0.9902704509261591
0.9624375,0.9768350613196802
1.0052775,0.9579642790228784
1.0534725,0.9306727140795817
1.0963125,0.9013682156922607
1.1391525,0.8676484880018518
1.1873475,0.8250377721471984
1.2301875,0.7835004923297813
1.2730275,0.7389909874988289
1.3212225,0.6861066090923233
1.3640625,0.6372244164024167
1.4069025,0.5871699657182217
1.521,0.4532454817182148
1.951,0.005218807083063127
