x_m,limit_operating_mode_1
0.0,0.12888502588366443
0.3840975,0.6483346864362878
0.4269375,0.7029507692544569
0.4697775,0.7537393191099314
0.5179725,0.8059323307320633
0.5608125,0.847610863252825
0.6036525,0.8845741598370269
0.6518475,0.9203207448904774
0.6946875,0.9467190391251821
0.7375275,0.9678994709896415
0.7857225,0.985442305375972
0.8285625,0.9953936366282292
0.8714025,1.0
0.9195975,0.9988979823802145
0.9624375,0.9924120702627673
1.0052775,0.980835099196558
1.0534725,0.9619800111658219
1.0963125,0.9402498648395136
1.1391525,0.914057355910707
1.1873475,0.8796516687366366
1.2301875,0.8450174955834138
1.2730275,0.8069020080384597
1.3212225,0.7603806847023379
1.3640625,0.7162434094396306
1.4069025,0.6699203024477202
1.521,0.5396796098244542
1.951,0.026303887826618307
