model,mode,rpm,omega_rad_s,real_part_1_s,imag_part_1_s,damping_ratio,log_decrement,whirl
without_annular_seals,1,1629.2968543496522,170.61956760472754,3.415322169219662,170.61956760472754,-0.020013168386491694,-0.125771635540888,обратная прецессия
without_annular_seals,2,1634.1661316723632,171.12947713357156,-1.7864820274006878,171.12947713357156,0.010438790088544802,0.06559242635529774,прямая прецессия
without_annular_seals,3,7279.7843350555695,762.3372328909544,17.492318841754063,762.3372328909544,-0.02293960602903314,-0.14417173396898886,обратная прецессия
without_annular_seals,4,7285.436929529067,762.9291712000099,-7.787666028566774,762.9291712000099,0.010207055434422654,0.06413616180247549,прямая прецессия
without_annular_seals,5,18134.338889571274,1899.0235277728268,-14.652854714983922,1899.0235277728268,0.007715764617884154,0.04848102201313942,прямая прецессия
without_annular_seals,6,18136.936234151686,1899.2955210612488,33.18603070602848,1899.2955210612488,-0.017470143884916998,-0.10978490615258213,обратная прецессия
with_annular_seals,1,3701.8043784227466,387.65204800931434,-46.704573069687875,387.65204800931434,0.11961563812842363,0.7570022879964439,прямая прецессия
with_annular_seals,2,3705.657896997899,388.0555875308534,-44.25685536485751,388.0555875308534,0.1133131761876231,0.7165829646721315,обратная прецессия
with_annular_seals,3,8467.6665457285,886.7319671036239,-71.08109714223761,886.7319671036239,0.0799044356139305,0.5036648296791588,обратная прецессия
with_annular_seals,4,8486.578364387191,888.7124081224295,-89.17790234778818,888.7124081224295,0.0998436523288504,0.6304866238342521,прямая прецессия
with_annular_seals,5,18691.74827682904,1957.3953023078593,-88.1274489496272,1957.3953023078593,0.044977253629073205,0.2828866973097636,обратная прецессия
with_annular_seals,6,18706.735402404694,1958.9647504280897,-133.62068768503,1958.9647504280897,0.0680517234591637,0.42857511418433847,прямая прецессия
allowable_wear_clearances,1,3197.2743888836803,334.81779105425886,-34.013420916679976,334.81779105425886,0.10106767886871053,0.6382953124374602,прямая прецессия
allowable_wear_clearances,2,3200.43619201208,335.1488943036014,-27.726474926536323,335.1488943036014,0.08244717153962841,0.5198005508575064,обратная прецессия
allowable_wear_clearances,3,8064.486622457696,844.5110642695421,-18.578849637414955,844.5110642695421,0.021994211992629933,0.13822714704996025,обратная прецессия
allowable_wear_clearances,4,8109.817265336779,849.2580780912564,-73.74578110447155,849.2580780912564,0.0865099889398952,0.5456037690492334,прямая прецессия
allowable_wear_clearances,5,18502.379701484315,1937.564671470401,-118.00427499663738,1937.564671470401,0.060790760451088145,0.3826673440946758,прямая прецессия
allowable_wear_clearances,6,18515.671721895545,1938.9566085929107,9.424921272173055,1938.9566085929107,-0.004860763716076563,-0.03054143996632117,обратная прецессия
limit_operating_clearances,1,2900.0423773501475,303.6917275927434,-19.3495312434777,303.6917275927434,0.0635854510791263,0.4003292792119388,обратная прецессия
limit_operating_clearances,2,2901.595656539626,303.854386609098,-27.18611512641307,303.854386609098,0.08911489307734267,0.5621620310564138,прямая прецессия
limit_operating_clearances,3,7861.579287974726,823.2626578905025,6.909014702225754,823.2626578905025,-0.008391940711982062,-0.052729975358467435,обратная прецессия
limit_operating_clearances,4,7909.9241636312245,828.3253214305414,-64.97024597571362,828.3253214305414,0.0781954967315348,0.4928258069105503,прямая прецессия
limit_operating_clearances,5,18395.66976473409,1926.3900330250833,-107.39891595337804,1926.3900330250833,0.05566494459994923,0.35029629470497453,прямая прецессия
limit_operating_clearances,6,18439.56229989956,1930.9864485591922,51.036773300757176,1930.9864485591922,-0.02642118818302101,-0.1660671955354445,обратная прецессия
