case,label,balance_grade_mm_s,hydraulic_kr,hydraulic_force_n,unbalance_force_n,force_x_abs_n,force_y_abs_n,bearing_clearance_multiplier,seal_clearance_multiplier,amp_um,semi_major_um,semi_minor_um,axis_ratio
baseline_g6_3_hydraulic,"G6,3 + номинальная сила",6.3,0.02,516.837888,31.139466382382032,547.977354382382,289.558410382382,1.0,1.0,51.598620897947825,51.601114224624794,26.95325525241818,1.9144668701935463
allowable_wear_g6_3_offdesign,"G6,3 + допустимый износ",6.3,0.04,1033.675776,31.139466382382032,1064.8152423823822,547.977354382382,1.4,1.5,251.48717115782424,252.19639674485094,121.02878928487866,2.0837719540532524
limit_g16_offdesign,G16 + предельные зазоры,16.0,0.04,1033.675776,79.08435906636706,1112.7601350663672,595.922247066367,1.5,2.0,480.4434353352013,488.37586778257776,285.4854166832519,1.710685867798404
