z_mm,pressure_aligned_MPa,pressure_limit_misaligned_MPa
-20.0,0.0,0.0
-18.823529411764707,0.08065863515112721,0.03941823178479207
-17.647058823529413,0.15584664798987405,0.07987675428086434
-16.47058823529412,0.22567654784781305,0.12129747293370736
-15.294117647058822,0.2902524989661174,0.16359011463903436
-14.117647058823529,0.3496705413592988,0.20665080187494658
-12.941176470588236,0.4040187953181826,0.2503604432353803
-11.76470588235294,0.4533776497386835,0.2945829156215468
-10.588235294117647,0.497819934471413,0.339163009745153
-9.411764705882353,0.5374110768894702,0.38392410643029284
-8.23529411764706,0.572209242868872,0.4286655463754836
-7.0588235294117645,0.6022654623687388,0.4731596504418572
-5.882352941176472,0.6276237397872714,0.5171483410362603
-4.7058823529411775,0.6483211492553399,0.5603393076031098
-3.529411764705883,0.6643879150126707,0.6024016504415918
-2.3529411764705888,0.675847476992648,0.6429609268059542
-1.1764705882352944,0.6827165417210467,0.6815935112656517
0.0,0.6850051186119521,0.7178201682885964
1.1764705882352944,0.6827165417210469,0.7510987185946062
2.3529411764705888,0.6758474769926485,0.7808156615649877
3.529411764705883,0.6643879150126711,0.8062765933585885
4.7058823529411775,0.6483211492553402,0.8266952337396452
5.882352941176472,0.6276237397872716,0.8411808432055293
7.058823529411766,0.6022654623687391,0.8487237748947862
8.235294117647056,0.5722092428688724,0.8481788618502476
9.41176470588235,0.5374110768894707,0.83824628817018
10.588235294117645,0.49781993447141326,0.817449530781819
11.764705882352938,0.4533776497386837,0.7841098850496985
12.941176470588234,0.4040187953181828,0.7363169997943761
14.117647058823529,0.349670541359299,0.6718947426306573
15.294117647058822,0.2902524989661174,0.5883615912772744
16.47058823529412,0.22567654784781305,0.48288459628158614
17.647058823529413,0.15584664798987405,0.35222578008991784
18.823529411764707,0.08065863515112721,0.19267961998758473
20.0,0.0,0.0
