z_mm,Без перекоса,"G6,3 + номинальная сила",G16 + предельные зазоры
-20.0,34.933583554853115,36.88756240558002,51.72433911143287
-19.798994974874372,34.933583554853115,36.86792442718075,51.555587799306444
-19.597989949748744,34.933583554853115,36.84828644878149,51.38683648718001
-19.396984924623116,34.933583554853115,36.82864847038222,51.21808517505358
-19.195979899497488,34.933583554853115,36.80901049198295,51.049333862927156
-18.99497487437186,34.933583554853115,36.78937251358369,50.880582550800725
-18.79396984924623,34.933583554853115,36.769734535184426,50.7118312386743
-18.592964824120607,34.933583554853115,36.75009655678516,50.54307992654786
-18.391959798994975,34.933583554853115,36.73045857838589,50.37432861442143
-18.19095477386935,34.933583554853115,36.710820599986626,50.20557730229501
-17.98994974874372,34.933583554853115,36.691182621587366,50.03682599016857
-17.78894472361809,34.933583554853115,36.67154464318809,49.86807467804214
-17.587939698492463,34.933583554853115,36.65190666478883,49.699323365915724
-17.386934673366834,34.933583554853115,36.63226868638956,49.53057205378929
-17.185929648241206,34.933583554853115,36.6126307079903,49.361820741662854
-16.984924623115578,34.933583554853115,36.59299272959103,49.19306942953643
-16.78391959798995,34.933583554853115,36.57335475119177,49.02431811741
-16.582914572864322,34.933583554853115,36.5537167727925,48.855566805283566
-16.381909547738694,34.933583554853115,36.53407879439324,48.68681549315714
-16.180904522613066,34.933583554853115,36.51444081599397,48.51806418103071
-15.97989949748744,34.933583554853115,36.49480283759471,48.34931286890428
-15.778894472361808,34.933583554853115,36.475164859195445,48.18056155677785
-15.57788944723618,34.933583554853115,36.45552688079618,48.01181024465142
-15.376884422110553,34.933583554853115,36.43588890239691,47.84305893252499
-15.175879396984925,34.933583554853115,36.416250923997644,47.67430762039856
-14.974874371859297,34.933583554853115,36.396612945598385,47.505556308272126
-14.773869346733669,34.933583554853115,36.37697496719912,47.3368049961457
-14.572864321608039,34.933583554853115,36.35733698879985,47.16805368401927
-14.371859296482413,34.933583554853115,36.337699010400584,46.99930237189284
-14.170854271356786,34.933583554853115,36.31806103200132,46.830551059766414
-13.969849246231156,34.933583554853115,36.29842305360206,46.661799747639975
-13.768844221105526,34.933583554853115,36.27878507520279,46.49304843551354
-13.567839195979898,34.933583554853115,36.259147096803524,46.32429712338712
-13.36683417085427,34.933583554853115,36.23950911840426,46.155545811260694
-13.165829145728646,34.933583554853115,36.21987114000499,45.98679449913426
-12.964824120603016,34.933583554853115,36.20023316160573,45.81804318700783
-12.763819095477388,34.933583554853115,36.180595183206464,45.649291874881406
-12.562814070351758,34.933583554853115,36.1609572048072,45.48054056275497
-12.361809045226131,34.933583554853115,36.14131922640793,45.31178925062854
-12.160804020100501,34.933583554853115,36.12168124800866,45.14303793850211
-11.959798994974875,34.933583554853115,36.1020432696094,44.97428662637568
-11.758793969849247,34.933583554853115,36.08240529121014,44.805535314249255
-11.557788944723617,34.933583554853115,36.06276731281087,44.63678400212282
-11.35678391959799,34.933583554853115,36.0431293344116,44.4680326899964
